,modelName,features_list,features_size,hyperparameters,scaling_type,no_of_kfolds,comments,r2-score,mae,cohen_kappa_score
10,Random Forest Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"('none',)","('none',)","(0,)",Random Forest Regressor Model,69.64580596,0.632736497,0.793195296
11,Gradient Boosting Regression,"['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count', 'Verb_Count', 'Noun_Count', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy']",31,"GradientBoostingRegressor(learning_rate=0.01, n_estimators=500, subsample=0.5)","('none',)","(0,)",Gradient Boosting Model,74.76711264,0.596499576,0.829495437
12,Linear Regression,"Index(['Avg_Word_Count', 'pNoun_Count', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",5,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.09990756,0.614808248,0.778346626
13,Linear Regression,"Index(['Avg_Word_Count', 'pNoun_Count', 'Flesch_Reading_Ease_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density'],
      dtype='object')",6,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.27324582,0.611326378,0.777289547
14,Linear Regression,"Index(['Avg_Word_Count', 'pNoun_Count', 'Count_Comma',
       'Flesch_Reading_Ease_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",7,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.48424001,0.608634911,0.782905464
15,Linear Regression,"Index(['Avg_Word_Count', 'pNoun_Count', 'Count_Comma',
       'Flesch_Reading_Ease_Score', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density'],
      dtype='object')",8,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.21058792,0.611230707,0.780260258
16,Linear Regression,"Index(['Avg_Word_Count', 'pNoun_Count', 'Count_Comma', 'Capitalization_Errors',
       'Flesch_Reading_Ease_Score', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density'],
      dtype='object')",9,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.29269941,0.610339469,0.779491138
17,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'pNoun_Count', 'Count_Comma',
       'Capitalization_Errors', 'Flesch_Reading_Ease_Score',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",10,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.33116311,0.608976818,0.778093434
18,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Adverb_Count', 'pNoun_Count',
       'Count_Comma', 'Capitalization_Errors', 'Flesch_Reading_Ease_Score',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",11,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.35367779,0.608686037,0.780690693
19,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Adverb_Count', 'pNoun_Count',
       'Count_Exclamation', 'Count_Comma', 'Capitalization_Errors',
       'Flesch_Reading_Ease_Score', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density'],
      dtype='object')",12,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.06183098,0.613460028,0.781577652
20,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Verb_Count', 'Adverb_Count',
       'pNoun_Count', 'Count_Exclamation', 'Count_Comma',
       'Capitalization_Errors', 'Flesch_Reading_Ease_Score',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",13,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,74.09489067,0.612927057,0.779320655
21,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Verb_Count', 'Adverb_Count',
       'pNoun_Count', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark',
       'Capitalization_Errors', 'Flesch_Reading_Ease_Score',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",14,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.84037795,0.615510418,0.782327428
22,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Verb_Count', 'Adverb_Count',
       'pNoun_Count', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark',
       'Capitalization_Errors', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density'],
      dtype='object')",15,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.81962341,0.615242032,0.78066783
23,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Verb_Count', 'Adverb_Count',
       'pNoun_Count', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark',
       'Count_Hyphens', 'Capitalization_Errors', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density'],
      dtype='object')",16,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.83446802,0.615028888,0.78090334
24,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Verb_Count', 'Conj_Count',
       'Adverb_Count', 'pNoun_Count', 'Count_Exclamation', 'Count_Comma',
       'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors',
       'Connectivity_Index', 'Flesch_Reading_Ease_Score',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",17,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.84133355,0.614891575,0.780241275
25,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Verb_Count', 'Conj_Count',
       'Adverb_Count', 'pNoun_Count', 'Count_Exclamation', 'Count_Comma',
       'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors',
       'Connectivity_Index', 'Flesch_Reading_Ease_Score',
       'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density'],
      dtype='object')",18,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.82514008,0.614632477,0.780476384
26,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Verb_Count',
       'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Count_Exclamation',
       'Count_Comma', 'Count_Questionmark', 'Count_Hyphens',
       'Capitalization_Errors', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",19,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.79638658,0.615880124,0.781240169
27,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Verb_Count',
       'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Count_Exclamation',
       'Count_Comma', 'Count_Questionmark', 'Count_Hyphens',
       'Capitalization_Errors', 'Semantic_Similarity', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density'],
      dtype='object')",20,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.80214931,0.615604489,0.780840024
28,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Verb_Count',
       'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Count_Exclamation',
       'Count_Comma', 'Count_Questionmark', 'Count_Hyphens',
       'Capitalization_Errors', 'Semantic_Similarity', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density', 'Lexical_Accuracy'],
      dtype='object')",21,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.79656752,0.615545658,0.781456738
29,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Verb_Count',
       'Noun_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count',
       'Count_Exclamation', 'Count_Comma', 'Count_Questionmark',
       'Count_Hyphens', 'Capitalization_Errors', 'Semantic_Similarity',
       'Connectivity_Index', 'Flesch_Reading_Ease_Score',
       'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density',
       'Lexical_Accuracy'],
      dtype='object')",22,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.79461843,0.615166404,0.780941972
30,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Verb_Count',
       'Noun_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count',
       'Spelling_Mistakes_Count', 'Count_Exclamation', 'Count_Comma',
       'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors',
       'Semantic_Similarity', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density', 'Lexical_Accuracy'],
      dtype='object')",23,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.77764009,0.615128093,0.781366355
31,Linear Regression,"Index(['Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Syllable_Count',
       'Verb_Count', 'Noun_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count',
       'Spelling_Mistakes_Count', 'Count_Exclamation', 'Count_Comma',
       'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors',
       'Semantic_Similarity', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density', 'Lexical_Accuracy'],
      dtype='object')",24,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.62085944,0.616963781,0.778942736
32,Linear Regression,"Index(['Sent_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length',
       'Syllable_Count', 'Verb_Count', 'Noun_Count', 'Conj_Count',
       'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count',
       'Count_Exclamation', 'Count_Comma', 'Count_Questionmark',
       'Count_Hyphens', 'Capitalization_Errors', 'Semantic_Similarity',
       'Connectivity_Index', 'Flesch_Reading_Ease_Score',
       'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density',
       'Lexical_Accuracy'],
      dtype='object')",25,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.54972405,0.618031199,0.779308566
33,Linear Regression,"Index(['Sent_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length',
       'Syllable_Count', 'Verb_Count', 'Noun_Count', 'Conj_Count',
       'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count',
       'Count_Fullstops', 'Count_Exclamation', 'Count_Comma',
       'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors',
       'Semantic_Similarity', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density', 'Lexical_Accuracy'],
      dtype='object')",26,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.55620557,0.617856047,0.779075136
34,Linear Regression,"Index(['Sent_Count', 'Char_Count', 'Avg_Word_Count', 'Avg_Sentence_Length',
       'Syllable_Count', 'Verb_Count', 'Noun_Count', 'Conj_Count',
       'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count',
       'Count_Fullstops', 'Count_Exclamation', 'Count_Comma',
       'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors',
       'Semantic_Similarity', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy'],
      dtype='object')",27,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.49413451,0.618521726,0.779225833
35,Linear Regression,"Index(['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count',
       'Avg_Sentence_Length', 'Syllable_Count', 'Verb_Count', 'Noun_Count',
       'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count',
       'Count_Fullstops', 'Count_Exclamation', 'Count_Comma',
       'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors',
       'Semantic_Similarity', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy'],
      dtype='object')",28,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.48996401,0.618653738,0.777548223
36,Linear Regression,"Index(['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count',
       'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count',
       'Verb_Count', 'Noun_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count',
       'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation',
       'Count_Comma', 'Count_Questionmark', 'Count_Hyphens',
       'Capitalization_Errors', 'Semantic_Similarity', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Flesh_Kincaid_Grade',
       'Dale_Challl_Readability_Score', 'Unique_Words_LD', 'Lexical_Diversity',
       'Lexical_Density', 'Lexical_Originality', 'Lexical_Accuracy'],
      dtype='object')",29,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.4483441,0.619365713,0.777644309
37,Linear Regression,"Index(['Sent_Count', 'Word_Count', 'Char_Count', 'Avg_Word_Count',
       'Avg_Sentence_Length', 'Syllable_Count', 'Difficult_Word_Count',
       'Verb_Count', 'Noun_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count',
       'Spelling_Mistakes_Count', 'Count_Fullstops', 'Count_Exclamation',
       'Count_Comma', 'Count_Questionmark', 'Count_Hyphens',
       'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity',
       'Connectivity_Index', 'Flesch_Reading_Ease_Score',
       'Flesh_Kincaid_Grade', 'Dale_Challl_Readability_Score',
       'Unique_Words_LD', 'Lexical_Diversity', 'Lexical_Density',
       'Lexical_Originality', 'Lexical_Accuracy'],
      dtype='object')",30,"('none',)","('none',)","(0,)",Vanilla Linear Regression Model with SFS,73.4483441,0.619365713,0.777644309
38,Random Forest Regressor,"['Sent_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Adj_Count', 'Conj_Count', 'Adverb_Count', 'pNoun_Count', 'Spelling_Mistakes_Count', 'Count_Exclamation', 'Count_Comma', 'Count_Questionmark', 'Count_Hyphens', 'Capitalization_Errors', 'Grammar_Error_Count', 'Semantic_Similarity', 'Connectivity_Index', 'Flesch_Reading_Ease_Score', 'Dale_Challl_Readability_Score', 'Lexical_Diversity']",19,"('none',)","('none',)","(0,)",Random Forest Regressor with SFS,64.24771751,0.708163041,0.739273182
39,Gradient Boosting Regression,"Index(['Sent_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Count_Comma',
       'Dale_Challl_Readability_Score'],
      dtype='object')",5,"('none',)","('none',)","(0,)",Gradient Boosting Regression Model with SFS,73.62421882,0.61599703,0.823758845
40,Gradient Boosting Regression,"Index(['Sent_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'Count_Comma',
       'Semantic_Similarity', 'Dale_Challl_Readability_Score'],
      dtype='object')",6,"('none',)","('none',)","(0,)",Gradient Boosting Regression Model with SFS,73.42234453,0.619932548,0.821769571
41,Gradient Boosting Regression,"Index(['Sent_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'pNoun_Count',
       'Count_Comma', 'Connectivity_Index', 'Dale_Challl_Readability_Score'],
      dtype='object')",7,"('none',)","('none',)","(0,)",Gradient Boosting Regression Model with SFS,72.97824127,0.6246584,0.81603651
42,Gradient Boosting Regression,"Index(['Sent_Count', 'Avg_Word_Count', 'Avg_Sentence_Length',
       'Spelling_Mistakes_Count', 'Count_Comma', 'Count_Questionmark',
       'Semantic_Similarity', 'Dale_Challl_Readability_Score'],
      dtype='object')",8,"('none',)","('none',)","(0,)",Gradient Boosting Regression Model with SFS,73.33190772,0.621405533,0.821795474
43,Gradient Boosting Regression,"Index(['Sent_Count', 'Avg_Word_Count', 'Avg_Sentence_Length', 'pNoun_Count',
       'Count_Exclamation', 'Count_Comma', 'Connectivity_Index',
       'Flesch_Reading_Ease_Score', 'Dale_Challl_Readability_Score'],
      dtype='object')",9,"('none',)","('none',)","(0,)",Gradient Boosting Regression Model with SFS,72.63500882,0.630489602,0.817201612
